Längengrad;Breitengrad;ID;company;Adresse;PLZ;Ort;Bezirk;Nutzung der Grundstücksfläche nach dem FNP;Präsenz im Stadtbild ;url;caption
13.3457431;52.4986002;1.11;GORILLAS;Martin-Luther Straße 12;10777;Berlin;Tempelhof-Schöneberg;Wohnbaufläche;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. ;https://odis-berlin.de/images/standortaufnahmen/ID-1-11.jpg;Abb. 033 © Eigene Aufnahme (Fotoaufnahme vom 11.04.2023 - 18:30 Uhr) 
13.4116817516889;52.5415660070565;1.12;GORILLAS;Schönhauser Allee 143;10437;Berlin;Pankow;Fläche mit Mischnutzungscharakter;Lager in Ladengeschäft, direkt an öffentlichem Straßenland.;https://odis-berlin.de/images/standortaufnahmen/ID-1-12.jpg;Abb. 036 © Eigene Aufnahme (Fotoaufnahme vom 31.05.2023 - 17:50 Uhr) 
13.3165231;52.4539577;1.13;GORILLAS;Schloßstraße 51;12165;Berlin;Steglitz-Zehlendorf;Wohnbaufläche;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. ;https://odis-berlin.de/images/standortaufnahmen/ID-1-13.jpg;Abb. 039 © Eigene Aufnahme (Fotoaufnahme vom 11.04.2023 - 11:20 Uhr) 
13.4533327;52.5623533;1.14;GORILLAS;Rennbahnstraße 87;13086;Berlin;Pankow;Fläche mit Mischnutzungscharakter;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. ;https://odis-berlin.de/images/standortaufnahmen/ID-1-14.jpg;Abb. 042 © Eigene Aufnahme (Fotoaufnahme vom 21.04.2023 - 17:30 Uhr) 
13.4522411078002;52.4786322821048;1.15;GORILLAS;Thiemannstraße 1-11;12059;Berlin;Neukölln;Fläche mit gewerblichem Charakter ;Kein direkter Zugang zum öffentlichen Straßenland.;https://odis-berlin.de/images/standortaufnahmen/ID-1-15.jpg;Abb. 044 © Eigene Aufnahme (Fotoaufnahme vom 12.04.2023 - 19:30 Uhr) 
13.4223329;52.5257521;1.16;GORILLAS;Pauline-Staegemann-Straße 2;10249;Berlin;Friedrichshain-Kreuzberg;Fläche mit Mischnutzungscharakter;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. ;https://odis-berlin.de/images/standortaufnahmen/ID-1-16.jpg;Abb. 048 © Eigene Aufnahme (Fotoaufnahme vom 06.04.2023 - 17:30 Uhr) 
13.4579578331408;52.524938523338;1.17;GORILLAS;Thaerstraße 29;10249;Berlin;Pankow;Sonderbaufläche;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. ;https://odis-berlin.de/images/standortaufnahmen/ID-1-17.jpg;Abb. 051 © Eigene Aufnahme (Fotoaufnahme vom 12.04.2023 - 18:10 Uhr) 
13.2982267;52.4915993;1.18;GORILLAS;Seesener Straße 10;10709;Berlin;Charlottenburg-Wilmersdorf;Fläche mit Mischnutzungscharakter;Kein direkter Zugang zur Straße, deswegen nach Außen hin nicht als Lager erkennbar;https://odis-berlin.de/images/standortaufnahmen/ID-1-18.jpg;Abb. 053 © Eigene Aufnahme (Fotoaufnahme vom 15.04.2023 - 18:40 Uhr) 
13.3844930786909;52.4568267025744;1.19;GORILLAS;Tempelhofer Damm 215-219;12099;Berlin;Tempelhof-Schöneberg;Fläche mit Mischnutzungscharakter;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. ;https://odis-berlin.de/images/standortaufnahmen/ID-1-19.jpg;Abb. 056 © Eigene Aufnahme (Fotoaufnahme vom 15.04.2023 - 11:50 Uhr) 
13.4388191;52.5025233;1.20;GORILLAS;Köpenicker Straße 186;10997;Berlin;Friedrichshain-Kreuzberg;Gemeinbedarfsfläche;Gebäude leicht nach hinten versetzt, Lager nicht direkt erkennbar. ;https://odis-berlin.de/images/standortaufnahmen/ID-1-20.jpg;Abb. 060 © Eigene Aufnahme (Fotoaufnahme vom 13.04.2023 - 18:10 Uhr) 
